Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,URL_Tournament
1990,San Francisco,San Francisco,1990.02.05,32,16,Indoor Carpet,"$250,000",Andre Agassi,Kelly Jones Robert Van't Hof,,https://www.atptour.com/en/scores/archive/san-francisco/424/1990/results
1990,Guaruja,Guaruja,1990.02.05,32,16,Outdoor Hard,"$150,000",Martin Jaite,Javier Frana Gustavo Luza,,https://www.atptour.com/en/scores/archive/guaruja/201/1990/results
1990,Toronto-1,Toronto,1990.02.12,56,28,Indoor Carpet,"$1,200,000",Ivan Lendl,Patrick Galbraith David Macpherson,,https://www.atptour.com/en/scores/archive/toronto/302/1990/results
1990,Brussels,Brussels,1990.02.12,32,16,Indoor Carpet,"$600,000",Boris Becker,Emilio Sanchez Slobodan Zivojinovic,,https://www.atptour.com/en/scores/archive/brussels/406/1990/results
1990,Philadelphia,Philadelphia,1990.02.19,48,24,Indoor Carpet,"$1,000,000",Pete Sampras,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/philadelphia/401/1990/results
1990,Stuttgart-1,Stuttgart,1990.02.19,32,16,Indoor Carpet,"$1,000,000",Boris Becker,Guy Forget Jakob Hlasek,,https://www.atptour.com/en/scores/archive/stuttgart/357/1990/results
1990,Rotterdam,Rotterdam,1990.02.26,32,16,Indoor Carpet,"$500,000",Brad Gilbert,Leonardo Lavalle Jorge Lozano,,https://www.atptour.com/en/scores/archive/rotterdam/407/1990/results
1990,Memphis,Memphis,1990.02.26,48,24,Indoor Hard,"$250,000",Michael Stich,Darren Cahill Mark Kratzmann,,https://www.atptour.com/en/scores/archive/memphis/402/1990/results
1990,ATP Masters 1000 Indian Wells,Indian Wells,1990.03.05,56,28,Outdoor Hard,"$1,000,000",Stefan Edberg,Boris Becker Guy Forget,,https://www.atptour.com/en/scores/archive/indian-wells/404/1990/results
1990,Casablanca,Casablanca,1990.03.05,32,16,Outdoor Clay,"$150,000",Thomas Muster,Todd Woodbridge Simon Youl,,https://www.atptour.com/en/scores/archive/casablanca/360/1990/results
1990,ATP Masters 1000 Miami,Miami,1990.03.16,96,48,Outdoor Hard,"$1,500,000",Andre Agassi,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/miami/403/1990/results
1990,Estoril,Estoril,1990.04.02,32,16,Outdoor Clay,"$250,000",Emilio Sanchez,Sergio Casal Emilio Sanchez,,https://www.atptour.com/en/scores/archive/estoril/468/1990/results
1990,Orlando,Orlando,1990.04.02,32,16,Outdoor Hard,"$250,000",Brad Gilbert,Scott Davis David Pate,,https://www.atptour.com/en/scores/archive/orlando/409/1990/results
1990,Rio de Janeiro,Rio de Janeiro,1990.04.02,32,16,Outdoor Carpet,"$250,000",Luiz Mattar,Brian Garrow Sven Salumaa,,https://www.atptour.com/en/scores/archive/rio-de-janeiro/215/1990/results
1990,Tokyo-1,Tokyo,1990.04.09,56,28,Outdoor Hard,"$1,000,000",Stefan Edberg,Mark Kratzmann Wally Masur,,https://www.atptour.com/en/scores/archive/tokyo/329/1990/results
1990,Barcelona,Barcelona,1990.04.09,56,28,Outdoor Clay,"$500,000",Andres Gomez,Andres Gomez Javier Sanchez,,https://www.atptour.com/en/scores/archive/barcelona/425/1990/results
1990,Nice,Nice,1990.04.16,32,16,Outdoor Clay,"$250,000",Juan Aguilera,Alberto Mancini Yannick Noah,,https://www.atptour.com/en/scores/archive/nice/6120/1990/results
1990,Seoul,Seoul,1990.04.16,32,16,Outdoor Hard,"$165,000",Alex Antonitsch,Grant Connell Glenn Michibata,,https://www.atptour.com/en/scores/archive/seoul/434/1990/results
1990,ATP Masters 1000 Monte Carlo,Monte Carlo,1990.04.23,56,28,Outdoor Clay,"$1,000,000",Andrei Chesnokov,Petr Korda Tomas Smid,,https://www.atptour.com/en/scores/archive/monte-carlo/410/1990/results
1990,Hong Kong,Hong Kong,1990.04.23,32,16,Outdoor Hard,"$210,000",Pat Cash,Pat Cash Wally Masur,,https://www.atptour.com/en/scores/archive/hong-kong/336/1990/results
1990,Madrid,Madrid,1990.04.30,32,16,Outdoor Clay,"$310,000",Andres Gomez,Juan Carlos Baguena Omar Camporese,,https://www.atptour.com/en/scores/archive/madrid/309/1990/results
1990,Munich,Munich,1990.04.30,32,16,Outdoor Clay,"$250,000",Karel Novacek,Udo Riglewski Michael Stich,,https://www.atptour.com/en/scores/archive/munich/308/1990/results
1990,Singapore,Singapore,1990.04.30,32,16,Outdoor Hard,"$250,000",Kelly Jones,Mark Kratzmann Jason Stoltenberg,,https://www.atptour.com/en/scores/archive/singapore/456/1990/results
1990,ATP Masters 1000 Hamburg,Hamburg,1990.05.07,56,28,Outdoor Clay,"$1,000,000",Juan Aguilera,Sergi Bruguera Jim Courier,,https://www.atptour.com/en/scores/archive/hamburg/414/1990/results
1990,Kiawah Island,Kiawah Island,1990.05.07,32,16,Outdoor Clay,"$230,000",David Wheaton,Scott Davis David Pate,,https://www.atptour.com/en/scores/archive/kiawah-island/717/1990/results
1990,ATP Masters 1000 Rome,Rome,1990.05.14,64,32,Outdoor Clay,"$1,280,000",Thomas Muster,Sergio Casal Emilio Sanchez,,https://www.atptour.com/en/scores/archive/rome/416/1990/results
1990,Umag,Umag,1990.05.14,32,16,Outdoor Clay,"$175,000",Goran Prpic,Vojtech Flegl Daniel Vacek,,https://www.atptour.com/en/scores/archive/umag/439/1990/results
1990,World Team Cup,Dusseldorf,1990.05.21,24,12,Outdoor Clay,"$1,500,000",Goran Ivanisevic,Ken Flach Robert Seguso,,https://www.atptour.com/en/scores/archive/dusseldorf/615/1990/results
1990,Bologna,Bologna,1990.05.21,32,16,Outdoor Clay,"$250,000",Richard Fromberg,Gustavo Luza Udo Riglewski,,https://www.atptour.com/en/scores/archive/bologna/312/1990/results
1990,Roland Garros,Paris,1990.05.28,128,64,Outdoor Clay,"$2,700,000",Andres Gomez,Sergio Casal Emilio Sanchez,,https://www.atptour.com/en/scores/archive/roland-garros/520/1990/results
